2 HOMOLUMO,,,,,,,,,
#qubits,#Fermionic operator terms,#Pauli operator lines,#Depth,#Spin orbitals,#Spatial orbitals,#particles,Register Length,#Ham_gates,Runtime(min)
4,36,15,15,4,2,1,4,60,0.000281282
4 HOMOLUMO,,,,,,,,,
#qubits,#Fermionic operator terms,#Pauli operator lines,#Depth,#Spin orbitals,#Spatial orbitals,#particles,Register Length,#Ham_gates,Runtime(min)
8,564,193,193,8,4,2,8,1544,0.003371406
6 HOMOLUMO,,,,,,,,,
#qubits,#Fermionic operator terms,#Pauli operator lines,#Depth,#Spin orbitals,#Spatial orbitals,#particles,Register Length,#Ham_gates,Runtime(min)
12,2664,839,839,12,6,3,12,10068,0.015746265
8 HOMOLUMO,,,,,,,,,
#qubits,#Fermionic operator terms,#Pauli operator lines,#Depth,#Spin orbitals,#Spatial orbitals,#particles,Register Length,#Ham_gates,Runtime(min)
16,8784,2941,2941,16,8,4,16,47056,0.052783514
10 HOMOLUMO,,,,,,,,,
#qubits,#Fermionic operator terms,#Pauli operator lines,#Depth,#Spin orbitals,#Spatial orbitals,#particles,Register Length,#Ham_gates,Runtime(min)
20,21976,6587,6587,20,10,5,20,131740,0.13475114
Full,,,,,,,,,
#qubits,#Fermionic operator terms,#Pauli operator lines,#Depth,#Spin orbitals,#Spatial orbitals,#particles,Register Length,#Ham_gates,Runtime(min)
56,1136528,329561,329561,56,28,21,56,18455416,7.421511984
