Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,11.78751347,11.78497756,11.74472974,11.74870131,23.02239604
0.65,5.467835539,5.570234416,5.437997199,5.441530369,16.71508576
0.8,2.960745368,3.126633662,2.941408015,2.933660165,14.20632978
0.95,1.587261409,1.779304091,1.575246356,1.550482986,12.81809449
1.1,0.72342485,0.934653013,0.702932483,0.689834827,11.95548029
1.25,0.273784776,0.488245052,0.248504456,0.238625111,11.50412242
1.4,0.054709216,0.263590509,0.026911346,0.017589131,11.2827756
1.55,-0.045580834,0.154104381,-0.075664718,-0.084822032,11.17994461
1.7,-0.084379914,0.104120192,-0.116872716,-0.125829029,11.13846305
1.85,-0.090360818,0.085675715,-0.12597949,-0.134667314,11.12910916
2,-0.077345378,0.085614163,-0.118513158,-0.126849486,11.13637377
2.15,-0.046223729,0.104085356,-0.103187532,-0.111046173,11.151597
2.3,0.007700477,0.143735727,-0.085121774,-0.092343096,11.16971551
2.45,0.03233288,0.143500756,-0.067352963,-0.073781157,11.1877176
2.6,0.048178508,0.13545608,-0.051578007,-0.057099153,11.2038921
2.75,0.061227731,0.12928615,-0.03856309,-0.0431272,11.21742805
2.9,0.071426815,0.124653498,-0.02842923,-0.032054513,11.22814412
3.05,0.07903757,0.121238854,-0.020895471,-0.02365758,11.23626181
3.2,0.084513987,0.118772427,-0.0154872,-0.017503305,11.24220486
3.35,0.088356907,0.117021434,-0.011691795,-0.013100668,11.24645113
3.5,0.091025485,0.115787523,-0.009052238,-0.009997624,11.24943781
3.65,0.092883368,0.114910814,-0.007206638,-0.007824343,11.2515187
3.8,0.094204047,0.114272557,-0.005891453,-0.006309725,11.2529352
3.95,0.095171168,0.113791474,-0.004926274,-0.00528958,11.25368856
4.1,0.095905093,0.113415287,-0.004193019,-0.004785294,11.25039907
4.25,0.096481799,0.113111496,-0.003616605,-0.002876667,11.25638368
4.4,0.096948522,0.112859963,-0.003149881,-0.002673461,11.25652598
4.55,0.097335309,0.11264793,-0.002763094,-0.002371242,11.25678432
4.7,0.097661373,0.112466922,-0.002437031,-0.002085518,11.25704803
4.85,0.097939598,0.112311069,-0.002158805,-0.001833001,11.25728526
5,0.098179048,0.112176981,-0.001919355,-0.001612919,11.25749311
5.15,0.098386418,0.11205881,-0.001711985,-0.001421276,11.25767449
5.3,0.098566864,0.111955711,-0.001531539,-0.001253959,11.25783302
5.45,0.098724492,0.111865327,-0.001373911,-0.001107733,11.25797157
5.6,0.098862648,0.111786223,-0.001235755,-0.000979315,11.25809332
5.75,0.098984101,0.111715784,-0.001114302,-0.000866473,11.25820027
5.9,0.099091166,0.111653465,-0.001007237,-0.000766859,11.2582947
