Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,19.92657849,20.20198188,19.80845449,19.88633025,1591.307805
0.65,7.747368556,8.054399221,7.618137225,7.669225859,1579.085013
0.8,3.411587987,3.673961151,3.259402199,3.289753279,1574.699725
0.95,1.44268084,1.690001389,1.269191981,1.297458305,1572.705857
1.1,0.544083279,0.825803467,0.367187264,0.407109139,1571.818814
1.25,0.175133416,0.528963372,0.004385139,0.055044406,1571.470249
1.4,0.047422948,0.434331768,-0.127154925,-0.074802889,1571.340714
1.55,-4.23018E-05,0.393087749,-0.171091149,-0.123841296,1571.29028
1.7,-0.017211876,0.36391771,-0.180555559,-0.140495832,1571.27172
1.85,-0.012627644,0.34444942,-0.173921615,-0.141414593,1571.268774
2,0.003436835,0.338945633,-0.159109194,-0.133874286,1571.274349
2.15,0.025350503,0.341887403,-0.140542882,-0.121734777,1571.28475
2.3,0.050350774,0.350537355,-0.120955022,-0.10737725,1571.29767
2.45,0.076980022,0.358084224,-0.10204014,-0.092487466,1571.311334
2.6,0.104825509,0.363142587,-0.084806714,-0.078349692,1571.32422
2.75,0.122895825,0.34860682,-0.069793488,-0.065395933,1571.335559
2.9,0.17154886,0.339287848,-0.039066533,-0.053196697,1571.345444
3.05,0.180864463,0.339561781,-0.029802509,-0.046333266,1571.350015
3.2,0.188243455,0.337456123,-0.022427871,0.005978918,1571.40641
3.35,0.193969379,0.335492294,-0.016714387,0.013358935,1571.313005
3.5,0.198295428,0.332811872,-0.012393292,0.024976834,1571.251562
3.65,0.201510005,0.32972495,-0.009180121,-0.025593918,1334.689529
3.8,0.203868387,0.326440789,-0.006819173,0.267687034,-1122.507508
3.95,0.087509146,0.324250547,-0.00509023,0.075806982,1571.485064
4.1,0.056846762,0.296092865,-0.01636463,0.033138887,1571.431441
4.25,0.052368533,0.295801131,-0.016417553,0.07436941,1571.441152
4.4,0.049454101,0.295674511,-0.016562778,-0.085001411,1570.503985
4.55,0.044057002,0.295021954,-0.000457087,-0.09261179,1571.106859
4.7,0.044323336,0.295057896,0.339599979,,
4.85,0.04001912,0.295160264,-0.017231406,-0.090185181,1570.477433
