Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,-1921.865666,-1922.393079,-1921.773092,-1922.053684,-1922.066042
0.65,-1934.044876,-1934.540661,-1933.96341,-1934.270788,-1934.288834
0.8,-1938.380656,-1938.921099,-1938.322145,-1938.650261,-1938.674121
0.95,-1940.349563,-1940.905059,-1940.312355,-1940.642556,-1940.66799
1.1,-1941.248161,-1941.769257,-1941.21436,-1941.532905,-1941.555033
1.25,-1941.617111,-1942.066097,-1941.577162,-1941.884969,-1941.903598
1.4,-1941.744821,-1942.160729,-1941.708702,-1942.014817,-1942.033133
1.55,-1941.792286,-1942.201973,-1941.752638,-1942.063855,-1942.083567
1.7,-1941.809456,-1942.231143,-1941.762102,-1942.08051,-1942.102127
1.85,-1941.804872,-1942.250611,-1941.755468,-1942.081428,-1942.105073
2,-1941.788807,-1942.256115,-1941.740656,-1942.073888,-1942.099498
2.15,-1941.766894,-1942.253173,-1941.72209,-1942.061749,-1942.089097
2.3,-1941.741893,-1942.244523,-1941.702502,-1942.047391,-1942.076177
2.45,-1941.715264,-1942.236976,-1941.683587,-1942.032501,-1942.062513
2.6,-1941.687419,-1942.231918,-1941.666354,-1942.018364,-1942.049626
2.75,-1941.669348,-1942.246454,-1941.65134,-1942.00541,-1942.038287
2.9,-1941.620695,-1942.255773,-1941.620613,-1941.993211,-1942.028403
3.05,-1941.61138,-1942.255499,-1941.611349,-1941.986347,-1942.023831
3.2,-1941.604001,-1942.257605,-1941.603975,-1941.934035,-1941.967437
3.35,-1941.598275,-1942.259568,-1941.598261,-1941.926655,-1942.060842
3.5,-1941.593949,-1942.262249,-1941.59394,-1941.915037,-1942.122285
3.65,-1941.590734,-1942.265336,-1941.590727,-1941.965608,-2178.684318
3.8,-1941.588376,-1942.26862,-1941.588366,-1941.672327,-4635.881355
3.95,-1941.704735,-1942.27081,-1941.586637,-1941.864207,-1941.888783
4.1,-1941.735397,-1942.298968,-1941.597911,-1941.906875,-1941.942406
4.25,-1941.739876,-1942.29926,-1941.597964,-1941.865644,-1941.932695
4.4,-1941.74279,-1942.299386,-1941.59811,-1942.025015,-1942.869862
4.55,-1941.748187,-1942.300039,-1941.582004,-1942.032626,-1942.266988
4.7,-1941.747921,-1942.300003,-1941.241947,,
4.85,-1941.752225,-1942.2999,-1941.598778,-1942.030199,-1942.896414
