Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,-369.8402447,-370.2150488,-369.8081508,-370.0542054,-370.068609
0.65,-376.2128141,-376.5281107,-376.1948483,-376.4309386,-376.4421144
0.8,-378.7644909,-379.0527375,-378.7571077,-378.9889433,-378.999972
0.95,-380.162987,-380.4304808,-380.1629805,-380.3862137,-380.3986447
1.1,-380.9907944,-381.2541102,-380.9907911,-381.2094869,-381.2234054
1.25,-381.4115773,-381.6828806,-381.4115741,-381.630389,-381.6456168
1.4,-381.6099039,-381.8939042,-381.6099008,-381.8296215,-381.846106
1.55,-381.695443,-381.9942874,-381.6954399,-381.91572,-381.9334182
1.7,-381.7242308,-382.0390786,-381.7242278,-381.9446078,-381.9634433
1.85,-381.7246664,-382.0561472,-381.7246635,-381.9447807,-381.9646426
2,-381.7115615,-382.059859,-381.7115587,-381.9311317,-381.9518852
2.15,-381.692959,-382.057752,-381.6929566,-381.9117703,-381.9332644
2.3,-381.6733638,-382.0537353,-381.6733619,-381.8912908,-381.9133659
2.45,-381.6552648,-382.049688,-381.6552635,-381.8722984,-381.8947997
2.6,-381.6398757,-382.0463392,-381.6398749,-381.8561212,-381.878917
2.75,-381.6275507,-382.0438071,-381.6275504,-381.8431912,-381.866186
2.9,-381.6180942,-382.0480149,-381.6180942,-381.8333374,-381.8564727
3.05,-381.6110262,-382.0515029,-381.6110262,-381.8260615,-381.8493061
3.2,-381.6057903,-382.0539432,-381.6057903,-381.8207649,-381.8441028
3.35,-381.6018839,-382.0556674,-381.6018839,-381.8168986,-381.8403205
3.5,-381.5989116,-382.056917,-381.5989116,-381.8140269,-381.8375258
3.65,-381.5965882,-382.0578548,-381.5965882,-381.8118354,-381.8354047
3.8,-381.5947192,-382.0585851,-381.5947192,-381.8101097,-381.8337429
3.95,-381.5931755,-382.0591727,-381.5931755,-381.8087089,-381.8323997
4.1,-381.5918725,-382.0596579,-381.5918725,-381.807542,-381.8312843
4.25,-381.5907537,-382.0600664,-381.5907537,-381.8065499,-381.8303381
4.4,-381.589781,-382.0604148,-381.589781,-381.8056934,-381.8295224
4.55,-381.5889275,-382.0607146,-381.5889275,-381.8049457,-381.828811
4.7,-381.5881732,-382.0609751,-381.5881732,-381.8042879,-381.8281856
4.85,-381.5875032,-382.0612021,-381.5875032,-381.8037052,-381.8276318
