Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,-369.853928,-370.3833954,-369.8352325,-370.0488059,-370.0583729
0.65,-376.1816779,-376.597866,-376.1419651,-376.3559768,-376.3656832
0.8,-378.699972,-379.0567826,-378.6385543,-378.863847,-378.8744392
0.95,-380.0235164,-380.3521519,-380.0047159,-380.2470242,-380.2626745
1.1,-380.8998243,-381.2104103,-380.8770298,-381.1076724,-381.1252887
1.25,-381.356001,-381.6628854,-381.3314578,-381.5588821,-381.5766465
1.4,-381.5776842,-381.886611,-381.5530509,-381.7799181,-381.7979934
1.55,-381.6796675,-381.9979567,-381.655627,-381.8823292,-381.9008243
1.7,-381.7198724,-382.0497483,-381.696835,-381.9233362,-381.9423059
1.85,-381.727577,-382.0704422,-381.7059418,-381.9321745,-381.9516598
2,-381.718044,-382.0747143,-381.6984754,-381.9243567,-381.9443952
2.15,-381.6986938,-382.0692554,-381.6831498,-381.9085534,-381.929172
2.3,-381.668988,-382.053165,-381.665084,-381.8898503,-381.9110534
2.45,-381.6476144,-382.0446326,-381.6473152,-381.8712883,-381.8930514
2.6,-381.6318319,-382.052309,-381.6315403,-381.8546063,-381.8768769
2.75,-381.6187989,-382.0585773,-381.6185254,-381.8406344,-381.8633409
2.9,-381.6086124,-382.0632526,-381.6083915,-381.8295617,-381.8526248
3.05,-381.6010107,-382.0666843,-381.6008577,-381.8211648,-381.8445071
3.2,-381.5955406,-382.0691563,-381.5954495,-381.8150105,-381.8385641
3.35,-381.5917011,-382.0709084,-381.5916541,-381.8106079,-381.8343178
3.5,-381.5890346,-382.0721424,-381.5890145,-381.8075048,-381.8313311
3.65,-381.5871771,-382.0730192,-381.5871689,-381.8053315,-381.8292503
3.8,-381.5858565,-382.0736579,-381.5858537,-381.8038169,-381.8278338
3.95,-381.5848889,-382.0741397,-381.5848885,-381.8027968,-381.8270804
4.1,-381.5841554,-382.0745165,-381.5841553,-381.8022925,-381.8303699
4.25,-381.5835789,-382.074821,-381.5835789,-381.8003839,-381.8243853
4.4,-381.5831122,-382.0750731,-381.5831122,-381.8001806,-381.824243
4.55,-381.5827254,-382.0752857,-381.5827254,-381.7998784,-381.8239846
4.7,-381.5823993,-382.0754671,-381.5823993,-381.7995927,-381.8237209
4.85,-381.5821211,-382.0756233,-381.5821211,-381.7993402,-381.8234837
5,-381.5818816,-382.0757583,-381.5818816,-381.7991201,-381.8232758
5.15,-381.5816743,-382.0758764,-381.5816743,-381.7989285,-381.8230945
5.3,-381.5814938,-382.0759796,-381.5814938,-381.7987611,-381.8229359
5.45,-381.5813362,-382.0760701,-381.5813362,-381.7986149,-381.8227974
5.6,-381.581198,-382.0761493,-381.581198,-381.7984865,-381.8226756
5.75,-381.5810766,-382.0762199,-381.5810766,-381.7983737,-381.8225687
5.9,-381.5809695,-382.0762823,-381.5809695,-381.798274,-381.8224743
