Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,11.94326045,11.87770536,11.89198294,11.91716022,23.19395905
0.65,5.614494352,5.647722016,5.57316109,5.591564174,16.8684178
0.8,3.084508354,3.206492463,3.055852736,3.06022167,14.33600035
0.95,1.752365499,1.887604453,1.754957523,1.713775781,12.97994398
1.1,0.870880159,1.002637308,0.869901557,0.837250827,12.0975716
1.25,0.390362592,0.536909782,0.377169062,0.352291799,11.61375407
1.4,0.170784166,0.303064817,0.126464342,0.104069377,11.36616081
1.55,0.049513064,0.189735009,0.002586743,-0.01821816,11.24404144
1.7,-0.004478274,0.144720332,-0.054245392,-0.073548461,11.18865709
1.85,-0.02230745,0.121930515,-0.075001727,-0.092850401,11.16916838
2,-0.020664916,0.112038712,-0.076441593,-0.092912736,11.1688227
2.15,-0.008734285,0.111277396,-0.068085578,-0.083225766,11.17815143
2.3,0.008331905,0.115320181,-0.055536929,-0.069324635,11.1916431
2.45,0.026669833,0.117857774,-0.042120631,-0.054479766,11.20605803
2.6,0.042131267,0.107100558,-0.029739872,-0.040585721,11.21953721
2.75,0.053510624,0.098296759,-0.019354599,-0.028645113,11.23111114
2.9,0.061867591,0.091921016,-0.011281988,-0.019050577,11.24040948
3.05,0.06786384,0.087454395,-0.005420098,-0.011780127,11.24746069
3.2,0.071938696,0.084374758,-0.001432476,-0.006558164,11.25253299
3.35,0.074531721,0.082296903,0.001104882,-0.002992204,11.25600371
3.5,0.07606146,0.080929482,0.002602273,-0.000673921,11.2582654
3.65,0.07687471,0.080040169,0.003401644,0.000757521,11.25966595
3.8,0.077238508,0.07945187,0.003759445,0.001590464,11.26048541
3.95,0.07733404,0.079045592,0.003852934,0.0020335,11.2609272
4.1,0.077278645,0.078749571,0.003796864,0.002226326,11.26112854
4.25,0.077143714,0.078522846,0.003661656,0.002236996,11.26112466
4.4,0.076970707,0.078342238,0.003488648,0.00173581,11.25795644
4.55,0.076783238,0.0781943,0.003301179,0.002445178,11.26135659
4.7,0.076594002,0.078070856,0.003111944,0.002295126,11.26117873
4.85,0.076409618,0.077966578,0.002927559,0.002178214,11.26106528
5,0.076233333,0.077878075,0.002751275,0.00206908,11.26096332
5.15,0.076066568,0.077801689,0.002584509,0.001964983,11.2608667
5.3,0.075909767,0.077735976,0.002427708,0.001865691,11.26077457
5.45,0.075762865,0.077679165,0.002280806,0.001771071,11.26068661
5.6,0.075625534,0.077630182,0.002143476,0.001681789,11.2606036
5.75,0.075497319,0.077586981,0.00201526,0.001597388,11.26052498
5.9,0.075377703,0.077549283,0.001895645,0.001517963,11.26045095
