Distance(A),Angle,VQE,CCSD,RHF
1.47923,130,-381.6175098,-381.8442679,-381.6174927
1.531861579,135.2631579,-381.6175099,-381.8442682,-381.6174928
1.584493158,140.5263158,-381.61751,-381.8442685,-381.6174929
1.637124737,145.7894737,-381.6175102,-381.8442688,-381.6174931
1.689756316,151.0526316,-381.6175103,-381.844269,-381.6174932
1.742387895,156.3157895,-381.6175103,-381.8442692,-381.6174932
1.795019474,161.5789474,-381.6175104,-381.8442694,-381.6174933
1.847651053,166.8421053,-381.6175105,-381.8442695,-381.6174934
1.900282632,172.1052632,-381.6175105,-381.8442696,-381.6174934
1.952914211,177.3684211,-381.6175105,-381.8442696,-381.6174934
2.005545789,182.6315789,-381.6175105,-381.8442696,-381.6174934
2.058177368,187.8947368,-381.6175105,-381.8442696,-381.6174934
2.110808947,193.1578947,-381.6175105,-381.8442695,-381.6174934
2.163440526,198.4210526,-381.6175104,-381.8442694,-381.6174933
2.216072105,203.6842105,-381.6175103,-381.8442692,-381.6174932
2.268703684,208.9473684,-381.6175103,-381.844269,-381.6174932
2.321335263,214.2105263,-381.6175102,-381.8442688,-381.6174931
2.373966842,219.4736842,-381.61751,-381.8442685,-381.6174929
2.426598421,224.7368421,-381.6175099,-381.8442682,-381.6174928
2.47923,230,-381.6175098,-381.8442679,-381.6174927
