Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,11.76425377,11.76425376,11.74472974,11.74870131,23.02239604
0.65,5.450787539,5.450787082,5.437997199,5.441530369,16.71508576
0.8,2.951651483,2.951651379,2.941408015,2.933660165,14.20632978
0.95,1.597064218,1.597064219,1.575246356,1.550482986,12.81809449
1.1,0.725337794,0.725337627,0.702932483,0.689834827,11.95548029
1.25,0.27182988,0.271829841,0.248504456,0.238625111,11.50412242
1.4,0.05028582,0.050285765,0.026911346,0.017589131,11.2827756
1.55,-0.052276947,-0.052276946,-0.075664718,-0.084822032,11.17994461
1.7,-0.09348484,-0.093484839,-0.116872716,-0.125829029,11.13846305
1.85,-0.102591584,-0.102591583,-0.12597949,-0.134667314,11.12910916
2,-0.095125227,-0.095125226,-0.118513158,-0.126849486,11.13637377
2.15,-0.079799503,-0.079799502,-0.103187532,-0.111046173,11.151597
2.3,-0.06193899,-0.061938989,-0.085121774,-0.092343096,11.16971551
2.45,-0.044222505,-0.044222504,-0.067352963,-0.073781157,11.1877176
2.6,-0.028471165,-0.028471166,-0.051578007,-0.057099153,11.2038921
2.75,-0.015439032,-0.015439051,-0.03856309,-0.0431272,11.21742805
2.9,-0.00525326,-0.0052533,-0.02842923,-0.032054513,11.22814412
3.05,0.002346935,0.00234689,-0.020895471,-0.02365758,11.23626181
3.2,0.007815302,0.007815272,-0.0154872,-0.017503305,11.24220486
3.35,0.01165557,0.011653354,-0.011691795,-0.013100668,11.24645113
3.5,0.014319014,0.014317796,-0.009052238,-0.009997624,11.24943781
3.65,0.016183881,0.01618387,-0.007206638,-0.007824343,11.2515187
3.8,0.017499066,0.017499063,-0.005891453,-0.006309725,11.2529352
3.95,0.018464245,0.018464245,-0.004926274,-0.00528958,11.25368856
4.1,0.0191975,0.019197501,-0.004193019,-0.004785294,11.25039906
4.25,0.019773915,0.019773916,-0.003616605,-0.002876667,11.25638368
4.4,0.020240638,0.020240639,-0.003149881,-0.002673461,11.25652598
4.55,0.020627425,0.020627426,-0.002763094,-0.002371242,11.25678432
4.7,0.020953489,0.02095349,-0.002437031,-0.002085518,11.25704803
4.85,0.021231714,0.021231715,-0.002158805,-0.001833001,11.25728526
5,0.021471164,0.021471165,-0.001919355,-0.001612919,11.25749311
5.15,0.021678534,0.021678535,-0.001711985,-0.001421276,11.25767449
5.3,0.02185898,0.021858981,-0.001531539,-0.001253959,11.25783302
5.45,0.022016608,0.022016609,-0.001373911,-0.001107733,11.25797157
5.6,0.022154764,0.022154765,-0.001235755,-0.000979315,11.25809332
5.75,0.022276217,0.022276218,-0.001114302,-0.000866473,11.25820027
5.9,0.022383282,0.022383283,-0.001007237,-0.000766859,11.2582947
