Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,19.85674878,19.87530784,19.80845449,19.88633025,1591.307805
0.65,7.657847934,7.676407005,7.618137225,7.669225859,1579.085013
0.8,3.30052536,3.319084429,3.259402199,3.289753279,1574.699725
0.95,1.315842606,1.334401667,1.269191981,1.297458305,1572.705857
1.1,0.415093115,0.433652181,0.367187264,0.407109139,1571.818814
1.25,0.052242962,0.070802038,0.004385139,0.055044406,1571.470249
1.4,-0.08158484,-0.063025764,-0.127154925,-0.074802889,1571.340714
1.55,-0.133175381,-0.114616306,-0.171091149,-0.123841296,1571.29028
1.7,-0.143107763,-0.124548687,-0.180555559,-0.140495832,1571.27172
1.85,-0.134238052,-0.115678978,-0.173921615,-0.141414593,1571.268774
2,-0.110320481,-0.091761512,-0.159109194,-0.133874286,1571.274349
2.15,-0.08736798,-0.068808906,-0.140542882,-0.121734777,1571.28475
2.3,-0.066922899,-0.048364172,-0.120955022,-0.10737725,1571.29767
2.45,-0.047835367,-0.029276293,-0.10204014,-0.092487466,1571.311334
2.6,-0.030679409,-0.012120349,-0.084806714,-0.078349692,1571.32422
2.75,-0.015988805,0.002570265,-0.069793488,-0.065395933,1571.335559
2.9,0.016004571,0.011985926,-0.039066533,-0.053196697,1571.345444
3.05,0.025268595,0.001336186,-0.029802509,-0.046333266,1571.350015
3.2,0.032643233,-0.008599931,-0.022427871,0.005978918,1571.40641
3.35,0.038356717,-0.018249501,-0.016714387,0.013358935,1571.313005
3.5,0.042677812,-0.026940154,-0.012393292,0.024976835,1571.251562
3.65,0.045890983,-0.034842682,-0.009180121,-0.025593918,1334.689534
3.8,0.048251931,-0.04168302,-0.006819173,0.26769024,-1122.534631
3.95,0.049980875,-0.047726312,-0.00509023,0.075806982,1571.485064
4.1,-0.098761887,-0.086553671,-0.01636463,0.033138887,1571.431441
4.25,-0.103249757,-0.090367455,-0.016417553,0.074369408,1571.441152
4.4,-0.106154387,-0.093188277,-0.016562778,-0.085001411,1570.503985
4.55,-0.111555866,-0.093022392,-0.000457087,-0.09261179,1571.106859
4.7,-0.110563073,-0.092043717,0.339599979,,
4.85,-0.115605068,-0.102671126,-0.017231406,-0.090185181,1570.477433
