Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,11.49965539,11.60682478,11.49361652,11.49213933,22.28712071
0.65,5.335517224,5.462004117,5.33002471,5.330485364,16.12692672
0.8,2.973570727,3.111538591,2.965930734,2.957480203,13.75377662
0.95,1.67561661,1.822625445,1.661597475,1.634301822,12.42742884
1.1,0.81562168,0.961799809,0.801184724,0.788670591,11.58201175
1.25,0.350112467,0.50004298,0.335606807,0.329696918,11.12350491
1.4,0.116013449,0.269423271,0.10148408,0.097458759,10.89135071
1.55,0.00310852,0.155962171,-0.011427279,-0.015442838,10.77834455
1.7,-0.047548141,0.100431939,-0.062087828,-0.06686055,10.72673934
1.85,-0.066581988,0.072996627,-0.081121719,-0.086820888,10.70656524
2,-0.069870516,0.058735847,-0.084410265,-0.090867175,10.70230975
2.15,-0.065541126,0.050461574,-0.080080893,-0.086976477,10.7060108
2.3,-0.057745786,0.044864844,-0.07228558,-0.079274729,10.71354905
2.45,-0.048670419,0.040474948,-0.063210258,-0.069991011,10.72269811
2.6,-0.0395203,0.036670249,-0.054060202,-0.060404555,10.73217954
2.75,-0.031008077,0.033219328,-0.045518296,-0.051281089,10.74122685
2.9,-0.023443651,0.030066388,-0.037953539,-0.043066175,10.74939204
3.05,-0.017005249,0.02722772,-0.031518295,-0.035972279,10.7564587
3.2,-0.011688518,0.024738077,-0.026206722,-0.030033973,10.76238716
3.35,-0.007383396,0.022622248,-0.021907319,-0.025161916,10.76726133
3.5,-0.003925637,0.020881359,-0.018454699,-0.021198721,10.77123373
3.65,-0.001139844,0.019492674,-0.015672904,-0.017968085,10.77447674
3.8,0.001132086,0.018415853,-0.013403777,-0.015306642,10.77715121
3.95,0.003017518,0.017601502,-0.011520166,-0.013081201,10.77938875
4.1,0.004612325,0.016998532,-0.009928013,-0.011191805,10.78128855
4.25,0.005978178,0.016559147,-0.008562159,-0.009568308,10.7829205
4.4,0.007160748,0.016241621,-0.007379589,-0.008163708,10.78433166
4.55,0.008187894,0.016011453,-0.006352444,-0.006947067,10.78555309
4.7,0.009078283,0.015841479,-0.005462054,-0.005896909,10.78660652
4.85,0.009845818,0.015711315,-0.004694519,-0.004996721,10.78750868
5,0.010502459,0.015606418,-0.004037878,-0.00423152,10.78827491
5.15,0.011059701,0.01551698,-0.003480636,-0.003587241,10.78891939
5.3,0.011529073,0.015436807,-0.003011264,-0.003049304,10.78945692
5.45,0.011922063,0.015362318,-0.002618274,-0.002603369,10.78990209
5.6,0.012249789,0.015291644,-0.002290549,-0.002235594,10.79026885
5.75,0.012522626,0.015224043,-0.002017712,-0.001933164,10.79057016
5.9,0.012749926,0.015159375,-0.001790411,-0.001684384,10.7908179
