Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,-372.7574567,-373.4106979,-372.7489552,-373.098359,-373.1145894
0.65,-378.9215949,-379.5555186,-378.912547,-379.260013,-379.2747834
0.8,-381.2835414,-381.9059841,-381.276641,-381.6330182,-381.6479335
0.95,-382.5814955,-383.1948972,-382.5809743,-382.9561965,-382.9742813
1.1,-383.4414904,-384.0557229,-383.441387,-383.8018278,-383.8196983
1.25,-383.9069996,-384.5174797,-383.9069649,-384.2608014,-384.2782052
1.4,-384.1410986,-384.7480994,-384.1410877,-384.4930396,-384.5103594
1.55,-384.2540036,-384.8615605,-384.253999,-384.6059412,-384.6233655
1.7,-384.3046602,-384.9170907,-384.3046596,-384.6573589,-384.6749708
1.85,-384.3236941,-384.944526,-384.3236935,-384.6773192,-384.6951449
2,-384.3269826,-384.9587868,-384.326982,-384.6813655,-384.6994003
2.15,-384.3226532,-384.9670611,-384.3226526,-384.6774748,-384.6956993
2.3,-384.3148579,-384.9726578,-384.3148573,-384.6697731,-384.688161
2.45,-384.3057825,-384.9770477,-384.305782,-384.6604894,-384.679012
2.6,-384.2966324,-384.9808524,-384.2966319,-384.6509029,-384.6695306
2.75,-384.2881202,-384.9843033,-384.28809,-384.6417794,-384.6604832
2.9,-384.2805557,-384.9874563,-384.2805253,-384.6335645,-384.6523181
3.05,-384.2741173,-384.9902949,-384.27409,-384.6264706,-384.6452514
3.2,-384.2688006,-384.9927846,-384.2687785,-384.6205323,-384.6393229
3.35,-384.2644955,-384.9949004,-384.2644791,-384.6156603,-384.6344488
3.5,-384.2610377,-384.9966413,-384.2610264,-384.6116971,-384.6304764
3.65,-384.2582519,-384.99803,-384.2582447,-384.6084664,-384.6272334
3.8,-384.25598,-384.9991068,-384.2559755,-384.605805,-384.6245589
3.95,-384.2540946,-384.9999212,-384.2540919,-384.6035796,-384.6223213
4.1,-384.2524998,-385.0005241,-384.2524998,-384.6016902,-384.6204215
4.25,-384.2511339,-385.0009635,-384.2511339,-384.6000667,-384.6187896
4.4,-384.2499513,-385.001281,-384.2499513,-384.5986621,-384.6173784
4.55,-384.2489242,-385.0015112,-384.2489242,-384.5974454,-384.616157
4.7,-384.2480338,-385.0016812,-384.2480338,-384.5963953,-384.6151036
4.85,-384.2472663,-385.0018114,-384.2472663,-384.5954951,-384.6142014
5,-384.2466096,-385.0019163,-384.2466096,-384.5947299,-384.6134352
5.15,-384.2460524,-385.0020057,-384.2460524,-384.5940856,-384.6127907
5.3,-384.245583,-385.0020859,-384.245583,-384.5935477,-384.6122532
5.45,-384.24519,-385.0021604,-384.24519,-384.5931017,-384.611808
5.6,-384.2448623,-385.002231,-384.2448623,-384.5927339,-384.6114412
5.75,-384.2445895,-385.0022986,-384.2445895,-384.5924315,-384.6111399
5.9,-384.2443622,-385.0023633,-384.2443622,-384.5921827,-384.6108922
