Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,19.88560016,20.12453917,19.87540796,19.83930933,1601.225425
0.65,8.454723217,8.653531145,8.450814602,8.391912167,1589.775165
0.8,3.966788171,4.152831376,3.960019465,3.904173172,1585.288667
0.95,1.880058024,2.079941487,1.867008902,1.814836351,1583.199549
1.1,0.832717916,1.050272378,0.81834115,0.777558548,1582.163167
1.25,0.321054248,0.532855338,0.306539864,0.276847546,1581.663531
1.4,0.077815101,0.278192334,0.06327804,0.041553749,1581.428882
1.55,-0.033672504,0.153908468,-0.048213755,-0.064910352,1581.32266
1.7,-0.079788763,0.093706928,-0.094328523,-0.108227025,1581.279347
1.85,-0.092692953,0.065603785,-0.107245289,-0.119646357,1581.267816
2,-0.089184689,0.053136887,-0.103737064,-0.115215619,1581.272086
2.15,-0.078699993,0.047266344,-0.093252407,-0.104011298,1581.283115
2.3,-0.066334396,0.043504245,-0.08083034,-0.090925102,1581.296027
2.45,-0.054267827,0.040142391,-0.068746645,-0.078175176,1581.308617
2.6,-0.043364736,0.036788441,-0.057829993,-0.066567436,1581.320083
2.75,-0.033838104,0.033489946,-0.04829442,-0.056314968,1581.330215
2.9,-0.025676423,0.030371492,-0.040132044,-0.047425873,1581.339007
3.05,-0.018796414,0.02753077,-0.033259144,-0.039839014,1581.346517
3.2,-0.013084156,0.025025195,-0.027560042,-0.033460476,1581.352835
3.35,-0.008406767,0.022878515,-0.022898932,-0.028171589,1581.358072
3.5,-0.004616006,0.021089485,-0.019126742,-0.023835898,1581.362353
3.65,-0.001566115,0.0196382,-0.016090359,-0.020311715,1581.365798
3.8,0.000891188,0.018491606,-0.013643457,-0.017465813,1581.368494
3.95,0.00288602,0.017608739,-0.011655932,-0.015190187,1581.370423
4.1,0.004526906,0.0169455,-0.010019811,-0.013420632,1581.371193
4.25,0.005898596,0.016458531,-0.008651043,-0.012157408,1581.368601
4.4,0.00706392,0.016107954,-0.007487921,-0.011460151,1581.348819
4.55,0.008065222,0.015859034,-0.006487358,-0.005937301,1581.380994
4.7,0.008933203,0.015682846,-0.005620296,-0.005425964,1581.381581
4.85,0.00968627,0.015556483,-0.004867229,-0.004808499,1581.382149
