Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,-1934.792097,-1935.372861,-1934.787736,-1935.345542,-1935.365359
0.65,-1946.222974,-1946.843869,-1946.212329,-1946.792939,-1946.815619
0.8,-1950.710909,-1951.344569,-1950.703125,-1951.280678,-1951.302117
0.95,-1952.79764,-1953.417458,-1952.796135,-1953.370015,-1953.391236
1.1,-1953.84498,-1954.447128,-1953.844803,-1954.407292,-1954.427617
1.25,-1954.356643,-1954.964545,-1954.356604,-1954.908003,-1954.927253
1.4,-1954.599882,-1955.219208,-1954.599866,-1955.143297,-1955.161902
1.55,-1954.71137,-1955.343491,-1954.711358,-1955.249761,-1955.268124
1.7,-1954.757486,-1955.403693,-1954.757473,-1955.293078,-1955.311437
1.85,-1954.77039,-1955.431796,-1954.770389,-1955.304497,-1955.322969
2,-1954.766882,-1955.444263,-1954.766881,-1955.300067,-1955.318698
2.15,-1954.756398,-1955.450134,-1954.756396,-1955.288862,-1955.307669
2.3,-1954.744032,-1955.453896,-1954.743974,-1955.275776,-1955.294757
2.45,-1954.731965,-1955.457258,-1954.731891,-1955.263026,-1955.282167
2.6,-1954.721062,-1955.460611,-1954.720974,-1955.251418,-1955.270701
2.75,-1954.711536,-1955.46391,-1954.711438,-1955.241166,-1955.260569
2.9,-1954.703374,-1955.467028,-1954.703276,-1955.232277,-1955.251777
3.05,-1954.696494,-1955.469869,-1954.696403,-1955.22469,-1955.244267
3.2,-1954.690782,-1955.472375,-1954.690704,-1955.218311,-1955.237949
3.35,-1954.686104,-1955.474521,-1954.686043,-1955.213023,-1955.232712
3.5,-1954.682314,-1955.47631,-1954.682271,-1955.208687,-1955.228431
3.65,-1954.679264,-1955.477762,-1954.679234,-1955.205163,-1955.224986
3.8,-1954.676806,-1955.478908,-1954.676787,-1955.202317,-1955.22229
3.95,-1954.674812,-1955.479791,-1954.6748,-1955.200041,-1955.220361
4.1,-1954.673171,-1955.480454,-1954.673164,-1955.198272,-1955.219591
4.25,-1954.671799,-1955.480941,-1954.671795,-1955.197008,-1955.222183
4.4,-1954.670634,-1955.481292,-1954.670632,-1955.196311,-1955.241965
4.55,-1954.669632,-1955.481541,-1954.669631,-1955.190788,-1955.20979
4.7,-1954.668764,-1955.481717,-1954.668764,-1955.190277,-1955.209203
4.85,-1954.668011,-1955.481843,-1954.668011,-1955.189659,-1955.208636
