Distance(A),UCCSD-VQE,Numpy,RHF,CCSD,CCSD(T)
1,1.577354956,1.819234551,1.564873379,1.526804721,1590.464104
1.1,0.939070792,1.190121081,0.926078106,0.894479401,1589.832609
1.2,0.534994502,0.777814157,0.521916936,0.496958545,1589.435911
1.3,0.28421583,0.515306022,0.271119078,0.250990924,1589.19052
1.4,0.131001772,0.350630511,0.117899501,0.100893253,1589.040761
1.5,0.03889032,0.247257603,0.025786961,0.010662364,1588.950694
1.6,-0.015129962,0.181722426,-0.028242364,-0.042317693,1588.897762
1.7,-0.045436093,0.139445515,-0.058548574,-0.072088163,1588.867967
1.8,-0.060991048,0.111465611,-0.074103566,-0.087379526,1588.852607
1.9,-0.067420285,0.09231651,-0.080532818,-0.093648053,1588.846248
2,-0.068249721,0.078699232,-0.081362266,-0.09431291,1588.845486
2.1,-0.065690604,0.068635755,-0.078803169,-0.091525358,1588.848176
2.2,-0.061145576,0.060925608,-0.07425818,-0.086660917,1588.852949
2.3,-0.055603235,0.054813512,-0.068638971,-0.080626813,1588.858899
2.4,-0.049530624,0.049804277,-0.062552451,-0.074041032,1588.865408
2.5,-0.043394421,0.045567605,-0.056404122,-0.067330142,1588.872048
2.6,-0.037456969,0.041887153,-0.050457557,-0.060782151,1588.878532
2.7,-0.031878447,0.038627132,-0.044873864,-0.054583896,1588.88467
2.8,-0.026746658,0.035706212,-0.039741325,-0.048845821,1588.890349
2.9,-0.022099724,0.033077041,-0.035098021,-0.043623553,1588.895513
3,-0.017942621,0.030711465,-0.030948407,-0.038934074,1588.900138
3.1,-0.014258788,0.028590889,-0.027275033,-0.034768026,1588.90423
3.2,-0.011018248,0.026700465,-0.024046837,-0.031099261,1588.907805
3.3,-0.00818343,0.025025966,-0.021225138,-0.027891825,1588.910886
3.4,-0.005713364,0.023552217,-0.018767989,-0.025108387,1588.913483
