Distance(A),UCCSD-VQE,Numpy,RHF,CCSD,CCSD(T)
1,-1962.556021,-1963.163116,-1962.555389,-1963.12679,-1963.149633
1.1,-1963.194306,-1963.792229,-1963.194185,-1963.759115,-1963.781128
1.2,-1963.598382,-1964.204536,-1963.598346,-1964.156636,-1964.177827
1.3,-1963.849161,-1964.467044,-1963.849144,-1964.402604,-1964.423217
1.4,-1964.002375,-1964.63172,-1964.002363,-1964.552701,-1964.572977
1.5,-1964.094486,-1964.735093,-1964.094476,-1964.642932,-1964.663043
1.6,-1964.148506,-1964.800628,-1964.148505,-1964.695912,-1964.715975
1.7,-1964.178812,-1964.842905,-1964.178811,-1964.725683,-1964.745771
1.8,-1964.194367,-1964.870885,-1964.194366,-1964.740974,-1964.761131
1.9,-1964.200797,-1964.890034,-1964.200795,-1964.747243,-1964.767489
2,-1964.201626,-1964.903651,-1964.201625,-1964.747908,-1964.768252
2.1,-1964.199067,-1964.913714,-1964.199066,-1964.74512,-1964.765561
2.2,-1964.194522,-1964.921425,-1964.194521,-1964.740256,-1964.760788
2.3,-1964.18898,-1964.927537,-1964.188902,-1964.734221,-1964.754838
2.4,-1964.182907,-1964.932546,-1964.182815,-1964.727636,-1964.74833
2.5,-1964.176771,-1964.936783,-1964.176667,-1964.720925,-1964.741689
2.6,-1964.170833,-1964.940463,-1964.17072,-1964.714377,-1964.735205
2.7,-1964.165255,-1964.943723,-1964.165136,-1964.708179,-1964.729068
2.8,-1964.160123,-1964.946644,-1964.160004,-1964.70244,-1964.723388
2.9,-1964.155476,-1964.949273,-1964.155361,-1964.697218,-1964.718225
3,-1964.151319,-1964.951639,-1964.151211,-1964.692529,-1964.713599
3.1,-1964.147635,-1964.953759,-1964.147538,-1964.688363,-1964.709507
3.2,-1964.144395,-1964.95565,-1964.144309,-1964.684694,-1964.705932
3.3,-1964.14156,-1964.957324,-1964.141488,-1964.681486,-1964.702852
3.4,-1964.13909,-1964.958798,-1964.139031,-1964.678703,-1964.700254
