Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,19.85674878,19.98105861,19.80845449,19.88633025,1591.307805
0.65,7.657847934,7.759818477,7.618137225,7.669225859,1579.085013
0.8,3.30052536,3.356554794,3.259402199,3.289753279,1574.699725
0.95,1.315842606,1.372151449,1.269191981,1.297458305,1572.705857
1.1,0.415093115,0.506220402,0.367187264,0.407109139,1571.818814
1.25,0.052242962,0.212023337,0.004385139,0.055044406,1571.470249
1.4,-0.08158484,0.148784977,-0.127154925,-0.074802889,1571.340714
1.55,-0.13317538,0.108118012,-0.171091149,-0.123841296,1571.29028
1.7,-0.143107763,0.103674045,-0.180555559,-0.140495832,1571.27172
1.85,-0.134238052,0.0750723,-0.173921615,-0.141414593,1571.268774
2,-0.110320481,0.055876512,-0.159109194,-0.133874286,1571.274349
2.15,-0.08736798,0.070088975,-0.140542882,-0.121734777,1571.28475
2.3,-0.066922899,0.077001306,-0.120955022,-0.10737725,1571.29767
2.45,-0.047835367,0.081183008,-0.10204014,-0.092487466,1571.311334
2.6,-0.030679409,0.084342414,-0.084806714,-0.078349692,1571.32422
2.75,-0.015988805,0.086594544,-0.069793488,-0.065395933,1571.335559
2.9,0.016004571,0.046096816,-0.039066533,-0.053196697,1571.345444
3.05,0.025268596,0.047380166,-0.029802509,-0.046333266,1571.350015
3.2,0.032643233,0.047842001,-0.022427871,0.005978918,1571.40641
3.35,0.038356717,0.047075536,-0.016714387,0.013358935,1571.313005
3.5,0.042677812,0.045917136,-0.012393292,0.024976834,1571.251562
3.65,0.045890983,0.044433311,-0.009180121,-0.025593918,1334.689533
3.8,0.048251932,0.043094724,-0.006819173,0.267755412,-1123.082789
3.95,0.049980875,0.041838353,-0.00509023,0.075806982,1571.485064
4.1,-0.098761887,0.016055938,-0.01636463,0.033138887,1571.431441
4.25,-0.103249757,0.016033016,-0.016417553,0.074369387,1571.441152
4.4,-0.106154386,0.016225496,-0.016562778,-0.085001411,1570.503985
