Distance(A),VQE-IBMQ
0.5,-369.3210992
0.65,-375.808897
0.8,-378.1767379
0.95,-379.4684483
1.1,-380.6620733
1.25,-380.5257448
1.4,-380.9507316
1.55,-380.764621
1.7,-380.9371396
1.85,-380.7664051
2,-380.8559193
2.15,-381.0454323
2.3,-380.8121772
2.45,-381.54778
2.6,-381.0922314
2.75,-381.3645796
2.9,-381.3330017
3.05,-381.3608583
3.2,-381.2134591
3.35,-381.4102546
3.5,-381.1943761
3.65,-381.7795579
3.8,-381.5176368
3.95,-380.8310405
4.1,-381.400319
4.25,-381.1511441
4.4,-381.5099191
4.55,-381.5009618
4.7,-381.2843906
4.85,-381.1586812
