Distance(A),VQE-IBMQ
0.5,11.52815282
0.65,5.266091765
0.8,2.804271691
0.95,1.490252441
1.1,0.78903935
1.25,0.17873093
1.4,-0.050129694
1.55,-0.162736875
1.7,-0.214124454
1.85,-0.237280055
2,-0.241155279
2.15,-0.241642223
2.3,-0.21143459
2.45,-0.22883736
2.6,-0.234860572
2.75,-0.233918974
2.9,-0.220964469
3.05,-0.226902406
3.2,-0.224594558
3.35,-0.229321418
3.5,-0.222202071
3.65,-0.015718337
3.8,-0.227208263
3.95,-0.223091667
4.1,-0.249871093
4.25,-0.214877993
4.4,-0.222598723
4.55,-0.220440585
4.7,-0.223052758
4.85,-0.222429799
