Distance(A),VQE-IBMQ
0.5,19.11340039
0.65,7.069801071
0.8,3.965612848
0.95,0.493236683
1.1,-0.304340159
1.25,0.077377316
1.4,-0.324296556
1.55,-1.089531902
1.7,-1.155162508
1.85,-1.263320735
2,-0.311672958
2.15,-0.541827769
2.3,-0.273152737
2.45,-0.794800561
2.6,-0.020970639
2.75,-0.607943175
2.9,-1.018167138
3.05,-0.870516679
3.2,-0.403747794
3.35,-0.53045535
3.5,-0.894002331
3.65,-0.819360448
3.8,-0.716568946
3.95,-0.893707749
4.1,-0.710944622
4.25,-0.410046616
4.4,-0.770071872
4.55,-0.724727821
4.7,-0.621254633
4.85,-0.603825668
