Distance(A),VQE-IBMQ
0.5,-1921.449896
0.65,-1933.493496
0.8,-1936.597684
0.95,-1940.07006
1.1,-1940.867637
1.25,-1940.485919
1.4,-1940.887593
1.55,-1941.652829
1.7,-1941.718459
1.85,-1941.826617
2,-1940.87497
2.15,-1941.105124
2.3,-1940.836449
2.45,-1941.358097
2.6,-1940.584267
2.75,-1941.17124
2.9,-1941.581464
3.05,-1941.433813
3.2,-1940.967044
3.35,-1941.093752
3.5,-1941.457299
3.65,-1941.382657
3.8,-1941.279866
3.95,-1941.457004
4.1,-1941.274241
4.25,-1940.973343
4.4,-1941.333369
4.55,-1941.288024
4.7,-1941.184551
4.85,-1941.167122
