Distance(A),VQE-IBMQ
0.5,6.858881387
0.65,0.503522765
0.8,-1.973933248
0.95,-3.212020428
1.1,-3.866940028
1.25,-4.215722346
1.4,-4.44141516
1.55,-4.601715004
1.7,-4.683681992
1.85,-4.734159392
2,-4.76873067
2.15,-4.826418412
2.3,-4.903696716
2.45,-4.913996493
2.6,-4.937293934
2.75,-4.921829025
2.9,-4.937054813
3.05,-4.987485466
3.2,-4.975665833
3.35,-5.001366611
3.5,-5.018975805
3.65,-5.013369365
3.8,-5.013759569
3.95,-5.021313017
4.1,-5.042418906
4.25,-5.042831442
4.4,-5.048074593
4.55,-5.053626312
4.7,-5.050428028
4.85,-5.068091528
