Distance(A),VQE-IBMQ
0.5,-368.6539716
0.65,-375.0093302
0.8,-377.4867862
0.95,-378.7248734
1.1,-379.379793
1.25,-379.7285753
1.4,-379.9542681
1.55,-380.114568
1.7,-380.1965349
1.85,-380.2470123
2,-380.2815836
2.15,-380.3392714
2.3,-380.4165497
2.45,-380.4268494
2.6,-380.4501469
2.75,-380.434682
2.9,-380.4499078
3.05,-380.5003384
3.2,-380.4885188
3.35,-380.5142196
3.5,-380.5318288
3.65,-380.5262223
3.8,-380.5266125
3.95,-380.534166
4.1,-380.5552719
4.25,-380.5556844
4.4,-380.5609275
4.55,-380.5664793
4.7,-380.563281
4.85,-380.5809445
