Distance(A),VQE-IBMQ
0.5,11.53881432
0.65,4.984524842
0.8,2.600634714
0.95,1.192651313
1.1,0.585591913
1.25,0.312075832
1.4,-0.025953964
1.55,-0.092643386
1.7,-0.132635604
1.85,-0.200421903
2,-0.540468599
2.15,-0.457061269
2.3,-0.206061259
2.45,-0.290251114
2.6,-0.317747887
2.75,-0.283036758
2.9,-0.19530959
3.05,-0.255790998
3.2,-0.231724058
3.35,-0.231603155
3.5,-0.227135422
3.65,-0.257139361
3.8,-0.252628805
3.95,-0.182640587
4.1,-0.473487773
4.25,-0.356714845
4.4,-0.227751071
4.55,-0.223187499
4.7,-0.323062397
4.85,-0.298201269
