Distance(A),VQE-IBMQ
0.5,-369.9555005
0.65,-376.50979
0.8,-378.8936801
0.95,-380.3016635
1.1,-380.9087229
1.25,-381.182239
1.4,-381.5202688
1.55,-381.5869582
1.7,-381.6269504
1.85,-381.6947367
2,-382.0347834
2.15,-381.9513761
2.3,-381.7003761
2.45,-381.7845659
2.6,-381.8120627
2.75,-381.7773516
2.9,-381.6896244
3.05,-381.7501058
3.2,-381.7260389
3.35,-381.725918
3.5,-381.7214502
3.65,-381.7514542
3.8,-381.7469436
3.95,-381.6769554
4.1,-381.9678026
4.25,-381.8510297
4.4,-381.7220659
4.55,-381.7175023
4.7,-381.8173772
4.85,-381.7925161
