Distance(A),VQE-IBMQ
0.5,11.73677526
0.65,5.687041063
0.8,3.044937327
0.95,1.70178407
1.1,0.834024435
1.25,0.733322874
1.4,0.160115242
1.55,0.049168762
1.7,-0.001959225
1.85,-0.016587007
2,-0.012992697
2.15,-0.027523566
2.3,-0.027273431
2.45,-0.020792582
2.6,0.149968533
2.75,-0.013634282
2.9,-0.015297429
3.05,-0.028625103
3.2,0.396114094
3.35,-0.032896207
3.5,-0.007161259
3.65,-0.033631424
3.8,-0.011068242
3.95,-0.008948707
4.1,-0.038623479
4.25,-0.011797334
4.4,-0.026220161
4.55,0.115632151
4.7,-0.011630209
4.85,-0.029822961
