Distance(A),VQE-IBMQ
0.5,-370.2837964
0.65,-376.3335306
0.8,-378.9756344
0.95,-380.3187876
1.1,-381.1865472
1.25,-381.2872488
1.4,-381.8604564
1.55,-381.9714029
1.7,-382.0225309
1.85,-382.0371587
2,-382.0335644
2.15,-382.0480952
2.3,-382.0478451
2.45,-382.0413643
2.6,-381.8706032
2.75,-382.034206
2.9,-382.0358691
3.05,-382.0491968
3.2,-381.6244576
3.35,-382.0534679
3.5,-382.0277329
3.65,-382.0542031
3.8,-382.0316399
3.95,-382.0295204
4.1,-382.0591952
4.25,-382.032369
4.4,-382.0467918
4.55,-381.9049395
4.7,-382.0322019
4.85,-382.0503946
